Source,Concentration,LOD,Type of Sample,Units,Type of Measure,Chemical,Role/Location,Sampling method
Vincent et al.,Below LOD,2.15,Area,ug/m^3,point value,didecyl-dimethylammonium chloride (DDAC),Hospital working station,XAD-2 resin
Vincent et al.,Below LOD,187.42,Area,ug/m^3,point value,didecyl-dimethylammonium chloride (DDAC),Hospital working station,XAD-2 resin
Nayebzadeh,0.012,NA,Personal,ppm,geomean,Glutaraldehyde,Location with appropriate work practices,"SKC personal sampling pump and air-monitoring cassette with two glass fiber filters (2,4-dinitrophenylhydrazine and phosphoric acid)"
Nayebzadeh,0.051,NA,Personal,ppm,geomean,Glutaraldehyde,Location with poor work practices,"SKC personal sampling pump and air-monitoring cassette with two glass fiber filters (2,4-dinitrophenylhydrazine and phosphoric acid)"
Nayebzadeh,0.08,NA,Personal,ppm,geomean,Glutaraldehyde,Location with unsafe practices,"SKC personal sampling pump and air-monitoring cassette with two glass fiber filters (2,4-dinitrophenylhydrazine and phosphoric acid)"
Vyas,0.068,NA,Personal,mg/m^3,geomean,Glutaraldehyde,"Decontamination unit, ventilation only, endoscopy unit",Occupational Safety and Health Administration (OSHA) method 64
Vyas,0.118,NA,Personal,mg/m^3,geomean,Glutaraldehyde,"Decontamination unit and negative pressure room ventilation, endoscopy unit",Occupational Safety and Health Administration (OSHA) method 64
Vyas,0.062,NA,Personal,mg/m^3,geomean,Glutaraldehyde,"Decontamination unit and positive pressure room ventilation, endoscopy unit",Occupational Safety and Health Administration (OSHA) method 64
Vyas,0.014,NA,Personal,mg/m^3,geomean,Glutaraldehyde,"Negative pressure room ventilation only, endoscopy unit",Occupational Safety and Health Administration (OSHA) method 64
Vyas,0.021,NA,Personal,mg/m^3,geomean,Glutaraldehyde,"No ventilation, endoscopy unit",Occupational Safety and Health Administration (OSHA) method 64
Jachuck,0.12,NA,Personal,ppm,point value,Glutaraldehyde,"Endoscopy unit, theater nurse","gas washing liquid impingers containing
3-methyl-2-benzothiazolinone hydrazone hydrochloridereagent solution "
Jachuck,0.05,NA,Area,ppm,point value,Glutaraldehyde,"Corridor bench, endoscopy unit","gas washing liquid impingers containing
3-methyl-2-benzothiazolinone hydrazone hydrochloridereagent solution "
Campbell,0.68,NA,Personal,mg/m^3,point value,Glutaraldehyde,Operator's lapel,Not specified
Campbell,0.35,NA,Personal,mg/m^3,point value,Glutaraldehyde,Nex to operator's head,Not specified
Gannon,0.16,NA,Personal,mg/m^3,median,Glutaraldehyde,"Endoscopy unit, short term","1 1/min through glass fibre filters impregnated with 2,4-dinitrophenylhydrazine and phosphoric acid. 14"
Gannon,0.041,NA,Personal,mg/m^3,median,Glutaraldehyde,"Endoscopy unit, long term","1 1/min through glass fibre filters impregnated with 2,4-dinitrophenylhydrazine and phosphoric acid. 14"
Gannon,0.17,NA,Area,mg/m^3,median,Glutaraldehyde,"Endoscopy, short term","1 1/min through glass fibre filters impregnated with 2,4-dinitrophenylhydrazine and phosphoric acid. 14"
Gannon,0.016,NA,Area,mg/m^3,median,Glutaraldehyde,Endoscopy long term,"1 1/min through glass fibre filters impregnated with 2,4-dinitrophenylhydrazine and phosphoric acid. 14"
Mwanga,0.009,NA,Personal,ppm,median,ortho-pthlalaldehyde (OPA),Clinical departments in a tertiary hospital,"Passive sampling used TraceAir AT580 monitors (Assay Technology, Livermore, CA), which were analysed for OPA and formaldehyde"
Fujita,1.7,NA,Area,ppb,point value,ortho-pthlalaldehyde (OPA),Near bucket in endoscopy unit,"Active air sampling was performed at 1.0 l/min for 30 min using a 2,4-dinitrophenylhydrazine-silica cartridge (LpDNPH S10, Spelco, Bellefonte, PA, USA). The hydrazone derivative of OPA was eluted with acetonitrile and analyzed with a high performance liquid chromatograph (HP1100, Ailent, USA) with a UV detector (UV-VIS, Ailent, USA)"
Fujita,2,NA,Area,ppb,point value,ortho-pthlalaldehyde (OPA),Near bucket in endoscopy unit,"Active air sampling was performed at 1.0 l/min for 30 min using a 2,4-dinitrophenylhydrazine-silica cartridge (LpDNPH S10, Spelco, Bellefonte, PA, USA). The hydrazone derivative of OPA was eluted with acetonitrile and analyzed with a high performance liquid chromatograph (HP1100, Ailent, USA) with a UV detector (UV-VIS, Ailent, USA)"
Fujita,1.2,NA,Area,ppb,point value,ortho-pthlalaldehyde (OPA),Near bucket in endoscopy unit,"Active air sampling was performed at 1.0 l/min for 30 min using a 2,4-dinitrophenylhydrazine-silica cartridge (LpDNPH S10, Spelco, Bellefonte, PA, USA). The hydrazone derivative of OPA was eluted with acetonitrile and analyzed with a high performance liquid chromatograph (HP1100, Ailent, USA) with a UV detector (UV-VIS, Ailent, USA)"
Fujita,0.4,NA,Area,ppb,point value,ortho-pthlalaldehyde (OPA),Endoscopy room,"Active air sampling was performed at 1.0 l/min for 30 min using a 2,4-dinitrophenylhydrazine-silica cartridge (LpDNPH S10, Spelco, Bellefonte, PA, USA). The hydrazone derivative of OPA was eluted with acetonitrile and analyzed with a high performance liquid chromatograph (HP1100, Ailent, USA) with a UV detector (UV-VIS, Ailent, USA)"
Vyas,0.06,NA,Personal,mg/m^3,geomean,Glutaraldehyde,Peak in endoscopy,personal samplers and the Occupational Safety and Health Administration (OSHA) method 64
Vyas,0.01,NA,Personal,mg/m^3,geomean,Glutaraldehyde,Background in endoscopy,personal samplers and the Occupational Safety and Health Administration (OSHA) method 64
Vyas,0.11,NA,Personal,mg/m^3,geomean,Succinaldehyde,Peak in endoscopy,personal samplers and the Occupational Safety and Health Administration (OSHA) method 64
Vyas,0.02,NA,Personal,mg/m^3,geomean,Succinaldehyde,Background in endoscopy,personal samplers and the Occupational Safety and Health Administration (OSHA) method 64
Vyas,0.03,NA,Personal,mg/m^3,geomean,Formaldehyde,Peak in endoscopy,personal samplers and the Occupational Safety and Health Administration (OSHA) method 64
Vyas,0.01,NA,Personal,mg/m^3,geomean,Formaldehyde,Background in endoscopy,personal samplers and the Occupational Safety and Health Administration (OSHA) method 64
Hawley,10,NA,Personal,ppb,geomean,Hydrogen peroxide,Main OR,mix of breathing zone and moving area samples
Hawley,144,NA,Personal,ppb,geomean,Hydrogen peroxide,WCBC,mix of breathing zone and moving area samples
Hawley,85,NA,Personal,ppb,geomean,Hydrogen peroxide,"WCBC, Triage",mix of breathing zone and moving area samples
Hawley,167,NA,Personal,ppb,geomean,Hydrogen peroxide,WCBC OR,mix of breathing zone and moving area samples
Hawley,55,NA,Personal,ppb,geomean,Hydrogen peroxide,Acute and postpartum,mix of breathing zone and moving area samples
Hawley,106,NA,Personal,ppb,geomean,Hydrogen peroxide,Medical surgical,mix of breathing zone and moving area samples
Hawley,19,NA,Personal,ppb,geomean,Hydrogen peroxide,"Surgery, orthopedics",mix of breathing zone and moving area samples
Hawley,61,NA,Personal,ppb,geomean,Hydrogen peroxide,ICU,mix of breathing zone and moving area samples
Hawley,45,NA,Personal,ppb,geomean,Hydrogen peroxide,Oncology,mix of breathing zone and moving area samples
Hawley,60,NA,Personal,ppb,geomean,Hydrogen peroxide,NICU,mix of breathing zone and moving area samples
Hawley,12,NA,Personal,ppb,geomean,Hydrogen peroxide,Outpatient Clinic,mix of breathing zone and moving area samples
Hawley,25,NA,Personal,ppb,mean,Hydrogen peroxide,Public BR,mix of breathing zone and moving area samples
Hawley,26,NA,Personal,ppb,geomean,Hydrogen peroxide,Float,mix of breathing zone and moving area samples
Hawley,6,NA,Personal,ppb,mean,Hydrogen peroxide,Floors,mix of breathing zone and moving area samples
Hawley,2,NA,Personal,ppb,geomean,Peracetic acid,Main OR,mix of breathing zone and moving area samples
Hawley,20,NA,Personal,ppb,geomean,Peracetic acid,WCBC,mix of breathing zone and moving area samples
Hawley,30,NA,Personal,ppb,geomean,Peracetic acid,"WCBC, Triage",mix of breathing zone and moving area samples
Hawley,21,NA,Personal,ppb,geomean,Peracetic acid,WCBC OR,mix of breathing zone and moving area samples
Hawley,15,NA,Personal,ppb,geomean,Peracetic acid,Acute and postpartum,mix of breathing zone and moving area samples
Hawley,21,NA,Personal,ppb,geomean,Peracetic acid,Medical surgical,mix of breathing zone and moving area samples
Hawley,2,NA,Personal,ppb,geomean,Peracetic acid,"Surgery, orthopedics",mix of breathing zone and moving area samples
Hawley,15,NA,Personal,ppb,geomean,Peracetic acid,ICU,mix of breathing zone and moving area samples
Hawley,5,NA,Personal,ppb,geomean,Peracetic acid,Oncology,mix of breathing zone and moving area samples
Hawley,5,NA,Personal,ppb,geomean,Peracetic acid,NICU,mix of breathing zone and moving area samples
Hawley,5,NA,Personal,ppb,geomean,Peracetic acid,Outpatient Clinic,mix of breathing zone and moving area samples
Hawley,5,NA,Personal,ppb,mean,Peracetic acid,Public BR,mix of breathing zone and moving area samples
Hawley,5,NA,Personal,ppb,geomean,Peracetic acid,Float,mix of breathing zone and moving area samples
Hawley,1,NA,Personal,ppb,mean,Peracetic acid,Floors,mix of breathing zone and moving area samples
Hawley,13,NA,Personal,ppb,geomean,Acetic acid,Main OR,mix of breathing zone and moving area samples
Hawley,145,NA,Personal,ppb,geomean,Acetic acid,WCBC,mix of breathing zone and moving area samples
Hawley,75,NA,Personal,ppb,geomean,Acetic acid,"WCBC, Triage",mix of breathing zone and moving area samples
Hawley,143,NA,Personal,ppb,geomean,Acetic acid,WCBC OR,mix of breathing zone and moving area samples
Hawley,117,NA,Personal,ppb,geomean,Acetic acid,Acute and postpartum,mix of breathing zone and moving area samples
Hawley,140,NA,Personal,ppb,geomean,Acetic acid,Medical surgical,mix of breathing zone and moving area samples
Hawley,22,NA,Personal,ppb,geomean,Acetic acid,"Surgery, orthopedics",mix of breathing zone and moving area samples
Hawley,84,NA,Personal,ppb,geomean,Acetic acid,ICU,mix of breathing zone and moving area samples
Hawley,37,NA,Personal,ppb,geomean,Acetic acid,Oncology,mix of breathing zone and moving area samples
Hawley,24,NA,Personal,ppb,geomean,Acetic acid,NICU,mix of breathing zone and moving area samples
Hawley,27,NA,Personal,ppb,geomean,Acetic acid,Outpatient Clinic,mix of breathing zone and moving area samples
Hawley,122,NA,Personal,ppb,mean,Acetic acid,Public BR,mix of breathing zone and moving area samples
Hawley,63,NA,Personal,ppb,geomean,Acetic acid,Float,mix of breathing zone and moving area samples
Hawley,6,NA,Personal,ppb,mean,Acetic acid,Floors,mix of breathing zone and moving area samples
Hawley,26,NA,Personal,ppb,geomean,"Hydrogen peroxcide, peracetic acid, acetic acid",Main OR,mix of breathing zone and moving area samples
Hawley,327,NA,Personal,ppb,geomean,"Hydrogen peroxcide, peracetic acid, acetic acid",WCBC,mix of breathing zone and moving area samples
Hawley,197,NA,Personal,ppb,geomean,"Hydrogen peroxcide, peracetic acid, acetic acid","WCBC, Triage",mix of breathing zone and moving area samples
Hawley,335,NA,Personal,ppb,geomean,"Hydrogen peroxcide, peracetic acid, acetic acid",WCBC OR,mix of breathing zone and moving area samples
Hawley,193,NA,Personal,ppb,geomean,"Hydrogen peroxcide, peracetic acid, acetic acid",Acute and postpartum,mix of breathing zone and moving area samples
Hawley,272,NA,Personal,ppb,geomean,"Hydrogen peroxcide, peracetic acid, acetic acid",Medical surgical,mix of breathing zone and moving area samples
Hawley,48,NA,Personal,ppb,geomean,"Hydrogen peroxcide, peracetic acid, acetic acid","Surgery, orthopedics",mix of breathing zone and moving area samples
Hawley,161,NA,Personal,ppb,geomean,"Hydrogen peroxcide, peracetic acid, acetic acid",ICU,mix of breathing zone and moving area samples
Hawley,110,NA,Personal,ppb,geomean,"Hydrogen peroxcide, peracetic acid, acetic acid",Oncology,mix of breathing zone and moving area samples
Hawley,100,NA,Personal,ppb,geomean,"Hydrogen peroxcide, peracetic acid, acetic acid",NICU,mix of breathing zone and moving area samples
Hawley,45,NA,Personal,ppb,geomean,"Hydrogen peroxcide, peracetic acid, acetic acid",Outpatient Clinic,mix of breathing zone and moving area samples
Hawley,151,NA,Personal,ppb,mean,"Hydrogen peroxcide, peracetic acid, acetic acid",Public BR,mix of breathing zone and moving area samples
Hawley,107,NA,Personal,ppb,geomean,"Hydrogen peroxcide, peracetic acid, acetic acid",Float,mix of breathing zone and moving area samples
Hawley,13,NA,Personal,ppb,mean,"Hydrogen peroxcide, peracetic acid, acetic acid",Floors,mix of breathing zone and moving area samples
Hawley,12,NA,Personal,ppb,geomean,Hydrogen peroxide and peraceteic acid,Main OR,mix of breathing zone and moving area samples
Hawley,173,NA,Personal,ppb,geomean,Hydrogen peroxide and peraceteic acid,WCBC,mix of breathing zone and moving area samples
Hawley,117,NA,Personal,ppb,geomean,Hydrogen peroxide and peraceteic acid,"WCBC, Triage",mix of breathing zone and moving area samples
Hawley,191,NA,Personal,ppb,geomean,Hydrogen peroxide and peraceteic acid,WCBC OR,mix of breathing zone and moving area samples
Hawley,73,NA,Personal,ppb,geomean,Hydrogen peroxide and peraceteic acid,Acute and postpartum,mix of breathing zone and moving area samples
Hawley,130,NA,Personal,ppb,geomean,Hydrogen peroxide and peraceteic acid,Medical surgical,mix of breathing zone and moving area samples
Hawley,22,NA,Personal,ppb,geomean,Hydrogen peroxide and peraceteic acid,"Surgery, orthopedics",mix of breathing zone and moving area samples
Hawley,76,NA,Personal,ppb,geomean,Hydrogen peroxide and peraceteic acid,ICU,mix of breathing zone and moving area samples
Hawley,52,NA,Personal,ppb,geomean,Hydrogen peroxide and peraceteic acid,Oncology,mix of breathing zone and moving area samples
Hawley,67,NA,Personal,ppb,geomean,Hydrogen peroxide and peraceteic acid,NICU,mix of breathing zone and moving area samples
Hawley,18,NA,Personal,ppb,geomean,Hydrogen peroxide and peraceteic acid,Outpatient Clinic,mix of breathing zone and moving area samples
Hawley,29,NA,Personal,ppb,mean,Hydrogen peroxide and peraceteic acid,Public BR,mix of breathing zone and moving area samples
Hawley,31,NA,Personal,ppb,geomean,Hydrogen peroxide and peraceteic acid,Float,mix of breathing zone and moving area samples
Hawley,7,NA,Personal,ppb,mean,Hydrogen peroxide and peraceteic acid,Floors,mix of breathing zone and moving area samples
Binding,0.43,NA,Personal,ppm,point value,Formaldehyde,"Peak concentration, operating theater",TRGS 402
Binding,0.03,NA,Personal,ppm,point value,Glutaradialdehyde,"Peak concentration, operating theater",TRGS 402
Binding,0.18,NA,Personal,ppm,mean,Formaldehyde,"8 hour shift concentration, operating room",TRGS 402
Binding,0.01,NA,Personal,ppm,point value,Glutaradialdehyde,"8 hour shift concentration, operating room",TRGS 402
Binding,0.23,NA,Personal,ppm,point value,Formaldehyde,"Over whole cleaning time, operating theater",TRGS 402
Binding,0.01,NA,Personal,ppm,point value,Glutaradialdehyde,"Over whole cleaning time, operating theater",TRGS 402
Leinster,0.055,NA,Personal,mg/m^3,median,Glutaraldehyde,"Activating CIDEX and filling empty tanks, endoscopy","Personal exposures were determined from samplers worn by individual workers, with the sampling head located in the breathing zone"
Leinster,0.022,NA,Personal,mg/m^3,median,Glutaraldehyde,Endoscope cleaning,"Personal exposures were determined from samplers worn by individual workers, with the sampling head located in the breathing zone"
Leinster,0.014,NA,Personal,mg/m^3,median,Glutaraldehyde,Endoscope cleaning,"Personal exposures were determined from samplers worn by individual workers, with the sampling head located in the breathing zone"
Leinster,0.014,NA,Personal,mg/m^3,median,Glutaraldehyde,Theater cleaning,"Personal exposures were determined from samplers worn by individual workers, with the sampling head located in the breathing zone"
Leinster,0.17,NA,Personal,mg/m^3,median,Glutaraldehyde,Cleaning suction bottles,"Personal exposures were determined from samplers worn by individual workers, with the sampling head located in the breathing zone"
Leinster,0.01,NA,Personal,mg/m^3,median,Glutaraldehyde,Cleaning equpment in haemophilia center,"Personal exposures were determined from samplers worn by individual workers, with the sampling head located in the breathing zone"
LeBouf,0.73,NA,Mobile-area,ug/m^3,geomean,Benzene,Nursing assistant,
LeBouf,2.2,NA,Personal,ug/m^3,geomean,Benzene,Nursing assistant,
LeBouf,1.1,NA,Mobile-area,ug/m^3,geomean,Benzene,Licensed practical nurse,
LeBouf,4.2,NA,Personal,ug/m^3,geomean,Benzene,Licensed practical nurse,
LeBouf,0.42,NA,Mobile-area,ug/m^3,geomean,Benzene,Medical equipment preparer,
LeBouf,0.15,NA,Personal,ug/m^3,geomean,Benzene,Medical equipment preparer,
LeBouf,0.73,NA,Mobile-area,ug/m^3,geomean,Benzene,Respiratory therapist,
LeBouf,0.64,NA,Personal,ug/m^3,geomean,Benzene,Respiratory therapist,
LeBouf,1.1,NA,Mobile-area,ug/m^3,geomean,Benzene,Pharmacist/pharmacy technician,
LeBouf,1.2,NA,Personal,ug/m^3,geomean,Benzene,Pharmacist/pharmacy technician,
LeBouf,0.68,NA,Mobile-area,ug/m^3,geomean,Benzene,Floor stripper/waxer,
LeBouf,0.88,NA,Personal,ug/m^3,geomean,Benzene,Floor stripper/waxer,
LeBouf,0.69,NA,Mobile-area,ug/m^3,geomean,Benzene,Registered nurse,
LeBouf,1.1,NA,Personal,ug/m^3,geomean,Benzene,Registered nurse,
LeBouf,0.88,NA,Mobile-area,ug/m^3,geomean,Benzene,Dental assistant,
LeBouf,Below LOD,0.083,Personal,ug/m^3,geomean,Benzene,Dental assistant,
LeBouf,0.5,NA,Mobile-area,ug/m^3,geomean,Benzene,Housekeeper,
LeBouf,0.7,NA,Personal,ug/m^3,geomean,Benzene,Housekeeper,
LeBouf,0.45,NA,Mobile-area,ug/m^3,geomean,Benzene,Surgical technologist,
LeBouf,0.98,NA,Personal,ug/m^3,geomean,Benzene,Surgical technologist,
LeBouf,0.59,NA,Mobile-area,ug/m^3,geomean,Benzene,Endoscopy technician,
LeBouf,0.17,NA,Personal,ug/m^3,geomean,Benzene,Endoscopy technician,
LeBouf,0.68,NA,Mobile-area,ug/m^3,geomean,Benzene,Clinical laboratory technician,
LeBouf,Below LOD,0.083,Personal,ug/m^3,geomean,Benzene,Clinical laboratory technician,
LeBouf,0.74,NA,Mobile-area,ug/m^3,geomean,Benzene,Medical appliance technician,
LeBouf,0.83,NA,Personal,ug/m^3,geomean,Benzene,Medical appliance technician,
LeBouf,0.93,NA,Mobile-area,ug/m^3,geomean,Benzene,Dental laboratory technician,
LeBouf,Below LOD,0.083,Personal,ug/m^3,geomean,Benzene,Dental laboratory technician,
LeBouf,4,NA,Mobile-area,ug/m^3,geomean,Toluene,Nursing assistant,
LeBouf,9.9,NA,Personal,ug/m^3,geomean,Toluene,Nursing assistant,
LeBouf,6.9,NA,Mobile-area,ug/m^3,geomean,Toluene,Licensed practical nurse,
LeBouf,28.8,NA,Personal,ug/m^3,geomean,Toluene,Licensed practical nurse,
LeBouf,2.3,NA,Mobile-area,ug/m^3,geomean,Toluene,Medical equipment preparer,
LeBouf,7.5,NA,Personal,ug/m^3,geomean,Toluene,Medical equipment preparer,
LeBouf,17.3,NA,Mobile-area,ug/m^3,geomean,Toluene,Respiratory therapist,
LeBouf,28.9,NA,Personal,ug/m^3,geomean,Toluene,Respiratory therapist,
LeBouf,11.1,NA,Mobile-area,ug/m^3,geomean,Toluene,Pharmacist/pharmacy technician,
LeBouf,5.5,NA,Personal,ug/m^3,geomean,Toluene,Pharmacist/pharmacy technician,
LeBouf,3.8,NA,Mobile-area,ug/m^3,geomean,Toluene,Floor stripper/waxer,
LeBouf,20.7,NA,Personal,ug/m^3,geomean,Toluene,Floor stripper/waxer,
LeBouf,4,NA,Mobile-area,ug/m^3,geomean,Toluene,Registered nurse,
LeBouf,5.1,NA,Personal,ug/m^3,geomean,Toluene,Registered nurse,
LeBouf,11.5,NA,Mobile-area,ug/m^3,geomean,Toluene,Dental assistant,
LeBouf,28.7,NA,Personal,ug/m^3,geomean,Toluene,Dental assistant,
LeBouf,4,NA,Mobile-area,ug/m^3,geomean,Toluene,Housekeeper,
LeBouf,23.6,NA,Personal,ug/m^3,geomean,Toluene,Housekeeper,
LeBouf,2,NA,Mobile-area,ug/m^3,geomean,Toluene,Surgical technologist,
LeBouf,112,NA,Personal,ug/m^3,geomean,Toluene,Surgical technologist,
LeBouf,4.9,NA,Mobile-area,ug/m^3,geomean,Toluene,Endoscopy technician,
LeBouf,9.8,NA,Personal,ug/m^3,geomean,Toluene,Endoscopy technician,
LeBouf,10.3,NA,Mobile-area,ug/m^3,geomean,Toluene,Clinical laboratory technician,
LeBouf,162,NA,Personal,ug/m^3,geomean,Toluene,Clinical laboratory technician,
LeBouf,8.6,NA,Mobile-area,ug/m^3,geomean,Toluene,Medical appliance technician,
LeBouf,137,NA,Personal,ug/m^3,geomean,Toluene,Medical appliance technician,
LeBouf,10.6,NA,Mobile-area,ug/m^3,geomean,Toluene,Dental laboratory technician,
LeBouf,8.8,NA,Personal,ug/m^3,geomean,Toluene,Dental laboratory technician,
LeBouf,0.35,NA,Mobile-area,ug/m^3,geomean,Ethylbenzene,Nursing assistant,
LeBouf,1.2,NA,Personal,ug/m^3,geomean,Ethylbenzene,Nursing assistant,
LeBouf,1.4,NA,Mobile-area,ug/m^3,geomean,Ethylbenzene,Licensed practical nurse,
LeBouf,2.1,NA,Personal,ug/m^3,geomean,Ethylbenzene,Licensed practical nurse,
LeBouf,0.55,NA,Mobile-area,ug/m^3,geomean,Ethylbenzene,Medical equipment preparer,
LeBouf,Below LOD,0.16,Personal,ug/m^3,geomean,Ethylbenzene,Medical equipment preparer,
LeBouf,1.2,NA,Mobile-area,ug/m^3,geomean,Ethylbenzene,Respiratory therapist,
LeBouf,0.51,NA,Personal,ug/m^3,geomean,Ethylbenzene,Respiratory therapist,
LeBouf,2.3,NA,Mobile-area,ug/m^3,geomean,Ethylbenzene,Pharmacist/pharmacy technician,
LeBouf,Below LOD,0.16,Personal,ug/m^3,geomean,Ethylbenzene,Pharmacist/pharmacy technician,
LeBouf,1.5,NA,Mobile-area,ug/m^3,geomean,Ethylbenzene,Floor stripper/waxer,
LeBouf,1.4,NA,Personal,ug/m^3,geomean,Ethylbenzene,Floor stripper/waxer,
LeBouf,0.37,NA,Mobile-area,ug/m^3,geomean,Ethylbenzene,Registered nurse,
LeBouf,Below LOD,0.16,Personal,ug/m^3,geomean,Ethylbenzene,Registered nurse,
LeBouf,0.89,NA,Mobile-area,ug/m^3,geomean,Ethylbenzene,Dental assistant,
LeBouf,Below LOD,0.16,Personal,ug/m^3,geomean,Ethylbenzene,Dental assistant,
LeBouf,0.44,NA,Mobile-area,ug/m^3,geomean,Ethylbenzene,Housekeeper,
LeBouf,0.5,NA,Personal,ug/m^3,geomean,Ethylbenzene,Housekeeper,
LeBouf,Below LOD,0.16,Mobile-area,ug/m^3,geomean,Ethylbenzene,Surgical technologist,
LeBouf,Below LOD,0.16,Personal,ug/m^3,geomean,Ethylbenzene,Surgical technologist,
LeBouf,0.45,NA,Mobile-area,ug/m^3,geomean,Ethylbenzene,Endoscopy technician,
LeBouf,Below LOD,0.16,Personal,ug/m^3,geomean,Ethylbenzene,Endoscopy technician,
LeBouf,4.1,NA,Mobile-area,ug/m^3,geomean,Ethylbenzene,Clinical laboratory technician,
LeBouf,2.7,NA,Personal,ug/m^3,geomean,Ethylbenzene,Clinical laboratory technician,
LeBouf,Below LOD,0.16,Mobile-area,ug/m^3,geomean,Ethylbenzene,Medical appliance technician,
LeBouf,4.7,NA,Personal,ug/m^3,geomean,Ethylbenzene,Medical appliance technician,
LeBouf,0.23,NA,Mobile-area,ug/m^3,geomean,Ethylbenzene,Dental laboratory technician,
LeBouf,Below LOD,0.16,Personal,ug/m^3,geomean,Ethylbenzene,Dental laboratory technician,
LeBouf,1.4,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Nursing assistant,
LeBouf,5.4,NA,Personal,ug/m^3,geomean,"m,p-xylene",Nursing assistant,
LeBouf,3.8,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Licensed practical nurse,
LeBouf,8,NA,Personal,ug/m^3,geomean,"m,p-xylene",Licensed practical nurse,
LeBouf,1.8,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Medical equipment preparer,
LeBouf,0.35,NA,Personal,ug/m^3,geomean,"m,p-xylene",Medical equipment preparer,
LeBouf,3.3,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Respiratory therapist,
LeBouf,4,NA,Personal,ug/m^3,geomean,"m,p-xylene",Respiratory therapist,
LeBouf,12.7,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Pharmacist/pharmacy technician,
LeBouf,1.2,NA,Personal,ug/m^3,geomean,"m,p-xylene",Pharmacist/pharmacy technician,
LeBouf,6.2,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Floor stripper/waxer,
LeBouf,7.7,NA,Personal,ug/m^3,geomean,"m,p-xylene",Floor stripper/waxer,
LeBouf,1.2,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Registered nurse,
LeBouf,0.39,NA,Personal,ug/m^3,geomean,"m,p-xylene",Registered nurse,
LeBouf,5.7,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Dental assistant,
LeBouf,Below LOD,0.18,Personal,ug/m^3,geomean,"m,p-xylene",Dental assistant,
LeBouf,1.9,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Housekeeper,
LeBouf,1.9,NA,Personal,ug/m^3,geomean,"m,p-xylene",Housekeeper,
LeBouf,0.39,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Surgical technologist,
LeBouf,1.8,NA,Personal,ug/m^3,geomean,"m,p-xylene",Surgical technologist,
LeBouf,1.9,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Endoscopy technician,
LeBouf,0.63,NA,Personal,ug/m^3,geomean,"m,p-xylene",Endoscopy technician,
LeBouf,14.1,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Clinical laboratory technician,
LeBouf,25.6,NA,Personal,ug/m^3,geomean,"m,p-xylene",Clinical laboratory technician,
LeBouf,0.75,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Medical appliance technician,
LeBouf,28.6,NA,Personal,ug/m^3,geomean,"m,p-xylene",Medical appliance technician,
LeBouf,2,NA,Mobile-area,ug/m^3,geomean,"m,p-xylene",Dental laboratory technician,
LeBouf,Below LOD,0.18,Personal,ug/m^3,geomean,"m,p-xylene",Dental laboratory technician,
LeBouf,0.38,NA,Personal,ug/m^3,geomean,o-xylene,Nursing assistant,
LeBouf,1.5,NA,Mobile-area,ug/m^3,geomean,o-xylene,Nursing assistant,
LeBouf,1.4,NA,Personal,ug/m^3,geomean,o-xylene,Licensed practical nurse,
LeBouf,2.6,NA,Mobile-area,ug/m^3,geomean,o-xylene,Licensed practical nurse,
LeBouf,0.58,NA,Personal,ug/m^3,geomean,o-xylene,Medical equipment preparer,
LeBouf,Below LOD,0.19,Mobile-area,ug/m^3,geomean,o-xylene,Medical equipment preparer,
LeBouf,1.2,NA,Personal,ug/m^3,geomean,o-xylene,Respiratory therapist,
LeBouf,1,NA,Mobile-area,ug/m^3,geomean,o-xylene,Respiratory therapist,
LeBouf,1.8,NA,Personal,ug/m^3,geomean,o-xylene,Pharmacist/pharmacy technician,
LeBouf,0.45,NA,Mobile-area,ug/m^3,geomean,o-xylene,Pharmacist/pharmacy technician,
LeBouf,2.1,NA,Personal,ug/m^3,geomean,o-xylene,Floor stripper/waxer,
LeBouf,1.3,NA,Mobile-area,ug/m^3,geomean,o-xylene,Floor stripper/waxer,
LeBouf,0.6,NA,Personal,ug/m^3,geomean,o-xylene,Registered nurse,
LeBouf,Below LOD,0.19,Mobile-area,ug/m^3,geomean,o-xylene,Registered nurse,
LeBouf,1.2,NA,Personal,ug/m^3,geomean,o-xylene,Dental assistant,
LeBouf,Below LOD,0.19,Mobile-area,ug/m^3,geomean,o-xylene,Dental assistant,
LeBouf,0.45,NA,Personal,ug/m^3,geomean,o-xylene,Housekeeper,
LeBouf,0.73,NA,Mobile-area,ug/m^3,geomean,o-xylene,Housekeeper,
LeBouf,Below LOD,0.19,Personal,ug/m^3,geomean,o-xylene,Surgical technologist,
