Timestamp,Who is extracting data?,Title of Article,1st Author Last Name,Year of Publication,Journal,"Country of Healthcare Worker Data (If not provided, type NA)",What types of healthcare worker roles were included?,What was the type of healthcare facility?,Does it address cleaning and disinfection activities posing asthma risks to workers?,Does it address measurements (frequency and/or concentration) of cleaning/disinfection exposures during cleaning and disinfection in healthcare environments? (or animal studies),Does it capture asthma rates among healthcare workers with cleaning and disinfection activities as a potential risk factor?,Does the article address concentration of an exposure to cleaning and disinfection?,Describe the methods used.,What were the findings?,Does the article address frequency of cleaning and disinfection activity?,Describe the relationship (capture big picture and mention if quantitative data are available),"Were there differences across healthcare worker role or task described? If so, describe.",Does the article include likelihood or asthma rates as a a function of concentration of the exposure?,Describe the relationship.,"Were differences across healthcare worker role or task described? If so, describe.",Does the article include likelihood or asthma rate as a function of frequency of cleaning and disinfection activity?,Describe the relationship,"Were differences across healthcare worker role or task described? If so, describe.",Does the article include types of chemical products?,"If so, please list the products or chemical types that are mentioned.",Were differences in exposure or asthma across different chemical types mentioned/described?,"Does the article include the phrase, ""dose-response""?",Notes on dose-response related concepts,Does the article address the number of years working in healthcare industry before asthma symptom onset?,What summary statistics on latency are provided? Please provide the summary statistics.,Does the article address the number of years working in the healthcare industry and asthma rates outcome among participants?,What was the relationship between # of years working in healthcare and asthma rates?,"Does the article include the term, ""latency""?",Notes on latency related concepts,Does the article include details regarding asthma outcome diagnosis?,How was asthma diagnosed or measured?,Does the article include details regarding the use of a diagnostic measurement?,What diagnostic measurement was used?,Does the article include details regarding the use of a questionnaire tool to measure asthma?,What questionnaire tool(s) was (were) used? Were the tools validated?,Does the article include details regarding self-reporting of physician diagnosed asthma?,How was the self reporting conducted?,Does the article include asthma rates or rate of another asthma outcome among healthcare workers?,What were the findings?,"Were differences across healthcare worker role or task described? If so, describe.",Notes on asthma diagnosis and/or reported rates.
2022/03/24 12:25:30 AM MDT,Tina,Occupational asthma after exposure to ortho-phthalaldehyde (OPA),Robitaille,2015,Occupational & Environmental Medicine ,Canada,Endoscopic Sterilization Consultant,Hospital,Yes,No,No,No,,,No,,,No,NA,No,No,NA,No,Yes,Ortho-phthalaldehyde (OPA),No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,No,,,NA
2022/03/24 2:22:42 AM MDT,Tina,Are Operating Room Nurses at Higher Risk of Severe Persistent Asthma?,Le Moual,2013,Journal of Occupational & Environmental Medicine,USA,Nurses,Hospital,Yes,No,No,No,,,No,,,No,NA,No,No,NA,No,No,No,No,No,NA,No,,No,,No,NA,Yes, doctor-diagnosed asthma,No,,Yes,Supplementary and Biennial Questionnaire,No,,No,,,NA
2022/03/24 9:59:06 PM MDT,Tina,Under-estimation of self-reported occupational exposure by questionnaire in hospital workers.,Donnay,2011,Occupational & Environmental Medicine,France,"Hospital workers (auxiliary nurse, nurse, physician, physiotherapist, dentist, pharmacy, laboratory technician) and cleaners",Hospital,Yes,No,Yes,No,,,No,,,No,NA,No,Yes,"Information on frequency (non-exposed,  <1  day/month,  <1  day/week,  1-3  days/week, >4 days/week) and probability (non-exposed, <50%, >50%, 100%) of exposure was collected. No further details.",No,Yes,"Formaldehyde, bleach (chlorine), alcohol, quaternary ammonium, ammonia, sprays",Yes,No,NA,No,,No,,No,NA,No,,No,,Yes,Adapted from the  European  Community  Respiratory  Health  Survey  (ECRHS),Yes,Participants filled questionnaire stating their own answer on asthma diagnosis,No,,,NA
2022/03/25 12:04:06 AM MDT,Tina,"Acute antimicrobial pesticide-related illnesses among workers in health-care facilities -- California, Louisiana, Michigan, and Texas, 2002-2007.",Corporate Author: CDC,2010,MMWR: Morbidity & Mortality Weekly Report,USA,Nursing/medical assistants,"Hospitals, nursing and personal-care facility, medical clinics, health service involving patient care",Yes,No,No,No,,,Yes,Of the 401 cases of work-related illness associated with antimicrobial pesticide exposures in health-care facilities. The most frequent occupations reported were janitors/ housekeepers (24%) and nursing/medical assistants (16%).,No,No,NA,No,No,NA,No,Yes,"Quaternary ammonium compounds 
Glutaraldehyde
Sodium hypochlorite
Isopropyl alcohol
Peroxyacetic acid
Phenolic disinfectants
Hydrogen peroxide",Yes,No,Acute illnesses associated with work-related antimicrobial pesticide exposures by chemical type in table 2,No,,No,,No,NA,No,,No,,No,,No,,Yes,"Among the 121 cases with respiratory symptoms/signs,
11 (9%) were in persons with asthma who had acute
asthma, and six (5%) were in persons without asthma
who experienced wheezing; all 17 were classified with
moderate or higher severity illness",No,NA
2022/03/25 12:18:18 AM MDT,Tina,Hospital Cleaning Products and Disinfectants Increase Asthma Risk for Nurses,NA,2009,Nurse Educator,USA,Nurses,Hospital,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,"Topical cleansers and antiseptics used to clean skin, glutaradldehyde for cold sterilization of medical instruments, general purpose cleansers, and bleach.",No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,Yes,Nurses who regularly cleaned surgical instruments were found to be 67% more likely to report being diagnosed with asthma,No,NA
2022/03/25 1:39:14 AM MDT,Tina,Occupational exposures and asthma among nursing professionals,Arif,2009,Occupational & Environmental Medicine,USA,"Nurses, Respiratory therapist, Occupational therapist, Physicians",Hospital,Yes,Yes,Yes,No,,,Yes,"Exposure was only dichotomized to 0 = no probability of exposure (i.e., not exposed at least once a week); and 1 or 2 = low/high probability of exposure (i.e., exposed at least once a week)",No,No,NA,No,No,NA,No,Yes,"They were grouped into four (of which the three patterning to this question are): cleaning-related
tasks,  administration of
aerosolised medications, and tasks involving adhesive
compounds, glues and/or solvents.",Yes,No,NA,Yes,It was mentioned that the age of asthma diagnosis was compared to the number of years in the health profession to determine the temporal relationship between asthma and entry into the profession (but did not find the details in result).,No,,No,NA,Yes,"Physician-diagnosed new-onset asthma after entry into
the healthcare profession and symptoms associated with bronchial hyper-responsiveness (BHR).",No,,Yes,Previously validated questionnaire from Delclos et al 2006,No,,Yes,"Among the nursing professionals, RNs had the highest prevalence of reported asthma (10.2%), followed by LVNs (8.0%) and nurse practitioners/nurse aides (6.9%; p,0.001).","Yes, table 4",NA
2022/03/25 2:54:03 AM MDT,Tina,Occupational exposures and asthma in health-care workers: comparison of self-reports with a workplace-specific job exposure matrix,Declos,2009,American Journal of Epidemiology,USA,"physicians, nurses, respiratory therapists, and occupational therapists ",Hospital,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes," Grouped into categories: Use of cleaning products/disinfectants, by task (12 items); use of powdered latex gloves (1 item); administration of aerosolized medications to patients (3 items); use of adhesives or solvents (3 items); and exposure to gases/vapors (3 items).",Yes,No,NA,No,,No,,No,"Number of years on the job was averagely 20years, however number of years working on the job before asthma onset was not stated",Yes,Anyone reporting a history of physician-diagnosed asthma or wheezing (aside from colds) in the previous 12 months was defined as asthmatic.,No,,Yes,A validated survey of asthma in health professionals. https://oem-bmj-com.ezproxy4.library.arizona.edu/content/oemed/suppl/2006/02/23/63.3.173.DC1/633173webappendix.pdf,Yes,NA,Yes,"Approximately 16% of respondents had been previously diagnosed by a physician as having asthma, and one-third reported a history of physician-diagnosed asthma or wheezing in the previous 12 months.","Yes, table 1",NA
2022/03/25 3:08:55 AM MDT,Tina,Cleaning products get up nurses' noses,NA,2009,Lamp,USA,nurses,hospital,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,"solvent, glue",No,No,NA,No,,No,,No,NA,No,,No,,No,,No,,Yes,"Nurses who regularly cleaned medical instruments were 67% more likely to have newly-diagnosed asthma, and those working with solvents and glues used in patient care were 51% more likely to report symptoms similar to asthma. ",No,NA
2022/03/25 9:27:32 PM MDT,Tina,Cleaning products increase risk of developing asthma for nurses.,Paton,2009,Occupational Health,USA,Nurses,Hospital,Yes,No,Yes,No,,,No,,,No,NA,No,Yes,"Those who regularly cleaned instruments were 67% more likely to report a diagnosis of asthma since starting their job. And those who were regularly exposed to general cleaning products and disinfectants were 72% more likely to report being newly diagnosed with asthma, and 57% more likely to report symptoms similar to asthma.",No,No,,No,No,Products were not listed but collectively called 'general cleaning products and disinfectants' ,No,,No,,No,No,No,,No,,No,,No,,Yes,"Of the sample of 3,650 healthcare professionals working, those who regularly cleaned instruments were 67% more likely to report a diagnosis of asthma since starting their job. And those who were regularly exposed to general cleaning products and disinfectants were 72% more likely to report being newly diagnosed with asthma, and 57% more likely to report symptoms similar to asthma",No,NA
2022/03/25 10:40:13 PM MDT,Tina,Occupational risk factors for asthma among nurses and related healthcare professionals in an international study,Mirabelli,2007,Occupational & Environmental Medicine,10 countries in Europe (not listed),Nurses,Hospital,Yes,Yes,Yes,No,,,No,,,No,NA,No,Yes,Table 2,Table 2,Yes,"ammonia and/or bleach, liquid multi-use products, washing powders, products in spray form",Yes,No,NA,No,,No,,No,NA,No,,No,,Yes,ECRHS I screening questionnaire   ,Yes,Authors designated respondents  as  having  new-onset   asthma   using   self-reported   symptoms,Yes,"
Twenty (6%) healthcare workers and 131 (5%) members of the referent population reported new-onset  asthma. Overall,  there  was  a,1%  difference  in  the  percentages  of new-onset asthma in the nursing population and the referent population   ","Yes, table 2",Symptomatic individuals may have reported asthma-like conditions that are actually related to chronic obstructive pulmonary disease.
2022/03/25 11:35:38 PM MDT,Tina,Occupational risk factors and asthma among health care professionals.,Delclos,2007,American Journal of Respiratory & Critical Care Medicine,USA,"physicians, nurses, respiratory therapists,
and occupational therapists",Hospital,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,All the list in table 4,Yes,Yes,"A dose–response relationship was found between reported
asthma and increasing seniority in the univariate analysis.",No,,No,,Yes,"Used in discussion: Typically, irritant-induced asthma is characterized by overexposure to an established respiratory irritant, with no latency between exposure and development of asthma symptoms.",No,,Yes,"Physician diagnosed asthma with onset after entry into health care (“reported asthma”) and (2) “bronchial hyperresponsiveness–related symptoms,” defined through an 8-item symptom-based predictor.",Yes,"Development and validation of the survey questionnaire were performed by a multidisciplinary team of industrial hygienists, occupational and pulmonary physicians, epidemiologists, and survey design experts. Asthma related questions were originally derived from the International Union Against Tuberculosis and Lung Diseases(IUATLD) bronchial symptom questionnaire",Yes,"Self-reported history of physician-diagnosed asthma, with onset after entry into the health care profession.",Yes,"The prevalence of reported asthma was 4.2% for physicians, 7.3% for nurses, 5.6% for respiratory therapists, and 4.5% for occupational therapists. BHR-related symptom prevalence varied by professional group: 18.0% in physicians, 29.2% in nurses, 30.3% in respiratory therapists, and 33.7% in occupational therapists.",table 2,NA
2022/03/26 12:34:01 AM MDT,Tina,"Incidence by occupation and industry of acute work related respiratory diseases in the UK, 1992-2001.",McDonald,2005,Occupational & Environmental Medicine,United Kingdom,Chest and occupational physicians participate,Hospital,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,"solvent vapor, acid mist",No,No,No,No,,No,,Yes,NA,Yes,Diagnosed by the chest physician and occupational physician involved in the study,No,,No,,Yes,NA,Yes,table 2,no,Self reporting was not conducted but used as a comparison to the specialist diagnoses in the paper
2022/03/26 10:13:51 PM MDT,Tina,Cleaning products and work-related asthma.,Rosenman,2003,Journal of Occupational & Environmental Medicine,USA,Nurses,Hospital,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,Full list in table 5 ,Yes,No,"Differences in exposure or asthma across different chemical types were mentioned in table 5, but this was across all industries (including nurses)",No,,No,,Yes,The article mentioned number of years working in healthcare industry before asthma symptom onset only for a housekeeper of a hospital not HCW,Yes,"Doctor's diagnosis based on ongoing respiratory problems, temporal relationship of symptoms to exposure to a known occupational allergen, evidence of hyperreactivity.",No,,Yes,Standardized follow-up questionnaires,No,,Yes,"Of all occupation type, nurses and nurses' aides were exposure to cleaning products was associated with work-related asthma was 47 (20%)",No,NA
2022/03/27 12:05:33 AM MDT,Tina,"Survey of symptoms, respiratory function and immunology in endoscopy nursing staff and their relationship to glutaraldehyde and other occupational exposures.",Vyas,2001,Journal Storage,United Kingdom,Endoscopy Nurses,Hospital,Yes,Yes,Yes,Yes,Industrial hygiene measurements for airborne concentrations of aldehyde biocides were made with personal samplers and the Occupational Safety  and  Health  Administration  (OSHA)method 64. One nurse on each unit was asked to  wear  the  pre-calibrated  personal  airborne sampler.,"A significant relation existed between peak GA concentrations and work related  chronic  bronchitis  and  nasal symptoms (after adjustment for types of local ventilation) but not to other WRSs. 

Peak GA concentrations were significantly higher in units that used both negative pressure room and decontaminating unit ventilation.",No,,,Yes, Four units (19 nurses) had peak GA or SF concentrations below the lower limit of detection  (0.001mg/m3). There  were  eight units  with  peak  airborne  concentrations  but none  with  background  concentrations  of  GA over  the  current  MEL  of  0.2  mg/m3 (0.05ppm).,No,No,NA,No,Yes,Glutaraldehyde,No,Yes,"Nasal  symptoms  related  to  work  were  dose dependent  on  peak  GA  concentrations,  suggesting a direct irritant effect. Conversely there was no dose-response relation between expo-sure   measures   and   lower   respiratory   tract symptoms with the exception of chronic bronchitis,  which  was  in  fact  the  least  prevalent symptom.",Yes,Ten  of  the  12  ex-employees  had  a  latency period  of  greater  than  3  months  (range  3months to 7 years) before the start of one or more  of  their  WRSs  of  the  lower  respiratory tract. Three had latency periods of 3 years or more. Six of 12 with WRSs of the lower respiratory tract recorded symptoms occurring only on workday evenings or nights,No,,Yes,NA,Yes,Diagnosis was defined as: cough daily for at least 3 months in 1 year for 2 consecutive years.,No,,Yes,An adaptation of the Medical Research Council   respiratory questionnaire was used.,No,,No,,,NA
2022/03/27 1:33:31 AM MDT,Tina,"Society of Gastroenterology Nurses and Associates, Inc. (SGNA) endoscopic disinfectant survey results compared with control group.",Ellett,1996,Gastroenterology Nursing,USA,Nurses,Hospital,Yes,Yes,No,Yes,"The respondents were divided into three groups- 3988 SGNA respondents, 99.4% of whom considered themselves to be exposed to endoscopic disinfectants (96% of the disinfectants contained 2% alkaline glutaraldehyde); 929 (53%) ASPAN respondents who considered themselves to be exposed to disinfectants (ASPAN-E) (54.% of the disinfectants contained 2% alkaline glutaraldehyde); and 830 (47%) ASPAN respondents who considered themselves not to be exposed (ASPANE)","Overall, there was a significant difference between the groups SGNA and ASPAN-E in the percentage of respondents who reported exposure  (chi-square = 275.87, p < .000)",Yes,SGNA respondents were exposed and average of 217.58 minutes per week whereas ASPAN-E respondents averaged 172.32minutes of exposure per week.,No,No,NA,No,No,NA,No,Yes,alkaline glutaraldehyde,No,No,NA,No,,No,,No,NA,No,,No,,Yes,Adapted from SGNA Endoscopic Disinfectant Survey,No,,No,,,NA
2022/03/27 1:49:56 AM MDT,Tina,Cleaners and airway diseases,Dumas,2021,Curr Opin Allergy Clin Immunol,NA,Nurse,Hospital,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,"surfactants, alcohols, disinfectants and acids,  ",No,Yes,NA,No,,No,,No,NA,No,,No,,Yes,NA,Yes,NA,No,,,NA
2022/03/27 7:03:23 PM MDT,Tina,Insufficient respiratory hazard identification in the safety data sheets for cleaning and disinfection products used in healthcare organisations across England and Wales,Lee,2021,Occup. Environ. Med.,England and Wales,NA,NA,Yes,No,No,No,,,No,,,No,NA,No,Yes,NA,No,No,NA,No,No,"459 chemical-based cleaning and disinfection products were identified, but was not listed. Each of them contained at least one of 205 constituent chemicals identifiable from SDSs",No,,No,,No,NA,No,,No,,No,,No,,No,,,NA
2022/03/27 8:33:03 PM MDT,Tina,Causes and phenotypes of work-related asthma,Maestrelli,2020,Int. J. Environ. Res. Public Health,NA,NA,NA,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,"Sodium hypochlorite, disinfectant cleaners, floor strippers, floor wax, carpet cleaners",No,No,NA,No,,No,,Yes,"Latency period and the duration of symptomatic exposure were significantly shorter in Low Molecular Weight sensitized patients. This is discordant from previous monocentric studies, which did not detect any differences in latency period and duration of symptomatic exposure ",No,,No,,Yes,Questionnaire with an asthma-specific job-exposure matrix. ,Yes,NA,Yes,"From the review, it has been estimated that OA represents 10% to 25% of asthma in adulthood",No,NA
2022/03/27 9:23:25 PM MDT,Tina,Work-related asthma and exposure to cleaning agents in healthcare settings-a review of the literature,Mwanga,2020,Curr. Allergy Clin. Immunol.,"USA, Japan, Spain, Italy","Nurses, endoscopy technicians, dental assistants,
medical equipment preparers, physicians and respiratory
therapists.1",Hospital,Yes,Yes,Yes,Yes,NA," In a case-control study among Spanish cleaners, airborne exposure levels of both chlorine (median: 0–0.4 ppm) and ammonia (median: 0.6–6.4 ppm) were detectable in domestic cleaning that made use of products containing bleach and ammonia",Yes,"Surgical hand/arm hygiene
≥1 time/day: 1.96 (1.52–2.51)
<1 time/day: 1.38 (1.06–1.80)",No,No,NA,No,No,NA,No,Yes,Full list in table2,No,Yes," In a recent study by Dumas et al, poor asthma control was positively associated with an increased frequency in hand-hygiene practices among US nurses, with a clear dose–response relationship demonstrated for surgical hand/arm hygiene",No,,No,,Yes,The clinical history in the case reports of asthma due to OPA and GTA demonstrated a latency period between first exposure to these agents and the development of symptoms ,Yes,Physician-diagnosed asthma with onset after entry in the healthcare sector,No,,Yes,"Questionnaire
Job-task-exposure matrix
Expert assessment
Asthma-specific JEM",Yes,NA,Yes," A previous US study demonstrated that, among nurses, registered nurses had the highest prevalence of reported asthma (10.2%), followed by licensed vocational nurses (8%) and nurse practitioners and nursing assistants (6.9%).",No,NA
2022/03/27 10:03:16 PM MDT,Tina,Occupational exposure to disinfectants and asthma incidence in U.S. nurses: A prospective cohort study,Dumas,2020,Am J Ind Med,USA,Nurses,Hospital,Yes,Yes,No,No,,,Yes,"Weekly use of disinfectants to clean surfaces only (23% exposed) or to clean medical instruments (19% exposed) was not associated with incident asthma (adjusted hazard ratio [95%CI] for surfaces, 1.12 [0.87–1.43]; for instruments, 1.13 [0.87–1.48]).",No,No,NA,No,Yes,"No association was observed between nursing job types, weekly use of disinfectants, or weekly use of sprays, and asthma incidence (Table 2).",No,Yes,"Formaldehyde
Glutaraldehyde
Hypochlorite bleach
Hydrogen peroxide
Alcohol
Quats
Enzymatic cleaners",Yes,No,NA,No,,No,,Yes,"Occupational asthma typically occurs after a latency period which can last from a few weeks to a few years, with an average of ~8–10 years",Yes,NA,No,,Yes, Biennial questionnaire and a Job-Task-Exposure Matrix (JTEM),No,,No,,,NA
2022/03/28 11:38:45 PM MDT,Tina,"Methodological evaluation of human research on asthmagenicity and occupational cleaning: A case study of quaternary ammonium compounds (""quats"")",Lakind,2019,Allergy Asthma Clin. Immunol.,USA,"Nurse, Pharmacist",Hospital,Yes,Yes,Yes,Yes,NA,"Patient's history revealed most pronounced symptoms after the floor of the pharmacy was cleaned with a product (Vantropol) containing lauryl dimethyl benzyl ammonium chloride as well as several other ingredients. SIC tests revealed a delayed reaction 7 h following exposure to lauryl dimethyl benzyl ammonium chloride (1 mL of solution of agent in 1:400 dilution in gauze), ",Yes,Expert assessment determined that at least 1 day/week exposure occurred in 31 asthma patients and 65 controls,No,No,NA,No,No,NA,No,Yes,"quaternary ammonium compounds, benzalkonium chloride",Yes,No,NA,No,,No,,No,NA,Yes,Diagnosis was confirmed via a SIC test.,No,,Yes,"Job-specific questionnaire, expert evaluation, and an asthma-specific job-exposure matrix.",Yes,NA,Yes,"In a previously cited publication assessing data from the SENSOR database, Rosenman et al. summarized exposure circumstances of 236 work-related asthma cases in four US states over the period 1993–1997 that were associated with the use of cleaning products. Of those, 188 individuals (80%) were characterized as experiencing new-onset asthma. Among the 188 new-onset cases, 42 had reactive airways dysfunction syndrome (RADS),",No,NA
2022/03/28 11:51:14 PM MDT,Tina,Contribution of antimicrobials to the development of allergic disease,Anderson,2019,Curr. Opin. Immunol.,USA,NA,NA,Yes,No,Yes,No,,,No,,,No,NA,No,No,NA,No,Yes,"formaldehyde, glutaraldehyde, hypochlorite bleach, hydrogen peroxide, and enzymatic cleaners ",No,No,NA,No,,No,,Yes,Allergic diseases are characterized by a latency period between primary exposure (sensitization) and symptoms (elicitation) that develop upon subsequent exposures,No,,No,,No,,No,,Yes,From the literature:  It has been estimated that asthma among health care workers accounts for about 16% of all occupational asthma cases and that up to 24% of these cases are due to exposure to cleaning agents,No,NA
2022/03/29 12:13:31 AM MDT,Tina,Association between Occupational Exposure to Disinfectants and Asthma in Young Adults Working in Cleaning or Health Services: Results from a Cross-Sectional Analysis in Germany,Weinmann,2019,J. Occup. Environ. Med.,Germany,NA,NA,Yes,Yes,Yes,No,,,Yes,"In the logistic regression analysis including occupational exposure to disinfectants per day as exposure variable, there was increasing odds ratios from the lowest to the highest exposure category for doctor-diagnosed asthma as outcome variable (table 3)",NA,No,NA,No,No,NA,No,No,NA,No,Yes,There was some indication of a dose–response relationship with increasing effect estimates from the lowest to the highest exposure category for doctor-diagnosed asthma,Yes,"Their findings provide some further evidence for an association between occupational exposure to disinfectants and asthma, indicating that this association can be seen already after the first year of exposure.",No,,No,NA,Yes,Doctor-diagnosed asthma and either wheezing without cold or use of asthma medication within the last 12 months prior to the survey. ,No,,Yes,Questionnaire data from the German Study on Occupational Allergy Risks II (SOLAR II),No,,Yes,"Forty individuals (11%) ever had a doctors’ diagnosis of asthma, while current asthma and current wheezing were reported by 25 (7%) and 77 (22%) participants, respectively",No,NA
2022/03/29 12:29:32 AM MDT,Tina,"Protect Patients, Harm Workers? Cleaning Agent Raises Concerns",Gary,2016,Hospital Employee Health,USA,Environmental services staff,Hospital,Yes,Yes,Yes,Yes,NA,"Air sampling results for Hydrogen Peroxide ranged from 6 parts per billion (ppb) to 511 ppb; for AC, from 7 ppb to 530 ppb; and for peroxyacetic acid, from 1 ppb to 48 ppb. All measurements for Hydrogen Peroxide and acetic acid  were below their respective occupational exposure limits of 1,000 ppb and 10,000 ppb. ",No,,,No,NA,No,No,NA,No,Yes,"The primary ingredients are acetic acid [AA], peroxyacetic acid [PAA], and hydrogen peroxide [HP].",No,No,NA,No,,No,,No,NA,Yes,NA,No,,No,,Yes,NA,Yes,"Among the 68 employees who worked with the product, the most commonly reported health outcomes were watery eyes (46%), nasal problems (41%), asthma-like symptoms (28%), use of allergy medicine (16%), and shortness of breath (16%).",No,"Among 10 respondents with self-reported physician-diagnosed asthma, six reported that something at work brought on or worsened their asthma, and three mentioned the cleaning product specifically by name."
2022/03/29 2:05:09 AM MDT,Tina,RRTs and occupational risks: a step-wise critique of research: rebuttal of Chest article.,de Jong,2005,Canadian Journal of Respiratory Therapy,Canada,Respiratory therapist,Hospital,Yes,No,No,No,,,No,,,No,NA,No,No,NA,No,Yes,"Ribavirin
and Gluteraldehyde) ",No,Yes,NA,No,,No,,No,NA,Yes,NA,No,,No,,No,,No,,,NA
2022/03/29 4:02:38 PM MDT,Tina,Respiratory Health Survey of Respiratory Therapists,Dimich-Ward,2004,CHEST,Canada,"Respiratory Therapist, Physiotherapist",Hospital,Yes,Yes,Yes,No,,,Yes,"Working > 35 h per week was associated with wheeze and being woken by cough. RTs who reported sterilizing instruments with glutaraldehyde-based solutions once a month or more, in comparison to those who did not, showed elevated adjusted ORs for wheeze, woken by cough, and reported asthma (table 5)",No,No,NA,No,Yes,There was no association of respiratory symptoms or reported asthma with working a graveyard shift or rotating shifts,No,Yes,"glutaraldehyde-based solutions, aerosolized substances (Ribavirin, Pentamidine)",Yes,Yes,NA,No,,No,,No,NA,Yes,NA,No,,Yes,The questions on respiratory symptoms were based on the American Thoracic Society-Division of Lung Disease questionnaire on epidemiologic studies and the International Union Against Tuberculosis and Lung Disease.,No,,Yes," Respiratory Therapists who used an oxygen tent or hood had the highest risk of asthma diagnosed after entering the profession (odds ratio [OR], 8.3; 95% confidence interval [CI], 12.6 to 26.0) and of asthma attacks in the last 12 months (OR, 3.6; 95% CI, 1.2 to 10.9).",No,NA
2022/03/29 6:12:06 PM MDT,Tina,Awareness. Respiratory effects of glutaraldehyde exposure... reprinted with permission of the Massachusetts Department of Public Health Occupational Surveillance Program.,NA,1997,ACCESS,USA,"Dentists and dental hygienists, physicians and nurses, central service employees, research technicians, lab workers, and x-ray technicians.",Hospital,Yes,Yes,No,No,,,No,,,No,NA,No,No,NA,No,Yes,glutaraldehyde,No,No,NA,Yes,"A dental hygienist developed symptoms of asthma one year after beginning work in a new office.

Also,  a 36 year-old office manager was diagnosed with asthma after working for 18 years in dental offices.  The patient had previously worked as a dental assistant, with duties including disinfecting the dental unit and sterilizing instruments.  She had been at her current place of employment for almost five years ",No,,Yes,"In general, workers develop symptoms after a latency period of several months to many years.  ",Yes,NA,No,,No,,No,,No,,,NA
2022/04/07 1:21:27 PM MDT,Amanda,Asthma and rhinitis after exposure to glutaraldehyde in endoscopy units,Corrado,1986,Human Toxicology,NA,nurse,endoscopy,Yes,No,No,No,,,No,,,No,,,No,,,Yes,alkaline glutaraldehyde,No,No,,Yes,"4 cases studies mentioned. In one case, it started 2 weeks after exposure, in another it was 3 months, in a third it was 2 weeks, and not specified in the 4th case",No,,No,,No,,Yes,"FEV1 and FVC, pulmonary function tests, electrocardiogram, skin-prick testing",No,,No,,No,,,measures not necessarily to confirm asthma diagnosis but rather to confirm response to glutaraldehyde
2022/04/07 1:39:45 PM MDT,Amanda,Occupational hazard in hospital staff exposed to 2 per cent glutaraldehyde in an endoscopy unit.,Jachuck,1989,Journal of the Society of Occupational Medicine,UK,nurse,endoscopy,Yes,Yes,No,Yes,personal sampling and room sampling,"""In the present study, neither personal exposure to glutaraldehyde vapour in the endoscopy unit nor the general background concentration exceeded the Health & Safety Executive Occupational Exposure Limit (OEL)."" More specific results in Table 2",No,,,No,,,No,,,Yes,alkaline glutaraldehyde,No,No,,No,,No,,No,,Yes,"questionnaire and clinical assessment (watering of eyes, rhinitis, breathlessness, dermatitis, other (nausea, wheezy, headache))",No,,No,,No,,No,,,
2022/04/07 1:49:00 PM MDT,Amanda,"Glutaraldehyde, asthma, and work - a cautionary tale",Stenton,1994,Occupational Medicine,UK,nurse,endoscopy,Yes,No,No,Yes,"Challenge protocol: ""A challenge protocol involving a series of daily lOmin challenges with
glutaraldehyde in the dose range 0.001-0.32 ppm was followed. The low starting dose was chosen because of the experience of marked bronchoconstriction during the workplace challenge. Daily 3.2-fold (^/lO) dose increments were used as these have previously been shown to offer a safe and convenient method of administering incremental challenges over a wide dose range7. The final dose (0.32 ppm) was chosen on the basis of previous environmental measurements and the occupational exposure standard of 0.2 ppm.""",Figures 2 and 3,No,,,No,,,No,,,Yes,glutaraldehyde,No,No,"""dose-response"" not specifically used but a lot of discussion of dose in general - will be good for dose response exercise",Yes,"worked for 7 years, past history of pulmonary embolism; exposed to glutaraldehyde in that time but considerable increase in exposures in last 18 months before symptom onset",No,,No,,Yes,FEV1 and challenge tests,Yes,challenge tests and FEV1 measurements,No,,No,,No,,,
2022/04/07 1:55:15 PM MDT,Amanda,Occupational exposure to glutaraldehyde,Campbell,1994,Occupational Medicine,UK,Doesn't specify,endoscopy,Yes,Yes,No,Yes,Personal sampling and sampling in breathing zone before and after fan installed,Exposures greater with fan due to fan positioning (conc in Table 1),No,,,No,,,No,,,Yes,glutaraldehyde,No,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Discusses them being asked to investigate a case of asthma but doesn't say how the asthma was reported or whether it was diagnosed
2022/04/07 2:05:16 PM MDT,Amanda,Occupational asthma due to indirect exposure to lauryl dimethyl benzyl ammonium chloride used in a floor cleaner,Burge,1997,Thorax,UK,pharmacist,pharmacy,Yes,No,No,Yes,Challenge days 1 ml of 1:400 dilution in water of ingredients on gauze in front of him,"""There was a significant late asthmatic reaction starting at seven hours, with a fall in FEV1 from 4 1 to 2 3 litres""",No,,,No,,,No,,,Yes,lauryl dimethyl benzyl ammonium chloride,No,No,,No,,No,,No,,Yes,"skin prick tests, spirometric and gas transfer measurements, histamine reactivity, challenge tests (FEV1 and peak flow readings)",Yes,"FEV1, peak flow, spirometry",No,,No,,No,,,
